Variable / Field Name,Form Name,Section Header,Field Type,Field Label,Choices, Calculations, OR Slider Labels,Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
homer_id,fatigue_severity_scale,,text,"Record ID",,,,,,,,,,,,,,,
fss_date,fatigue_severity_scale,,text,"Date of Assessment",,,date_ymd,,,,,,,,,,,
fss_examiner,fatigue_severity_scale,,text,"Examiner Name",,,,,,,,,,,,,,,
fss_header,fatigue_severity_scale,"FATIGUE SEVERITY SCALE (FSS)",descriptive,"Please circle the number between 1 and 7 which you feel best fits the following statements. This refers to your usual way of life within the last week.<br><b>1 indicates ""strongly disagree"" and 7 indicates ""strongly agree.""</b>",,,,,,,,,,,,,,
fss_1_motivation,fatigue_severity_scale,,radio,"1. My motivation is lower when I am fatigued.","1, 1 - Strongly Disagree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 - Strongly Agree",,,,,,,,,,,,,,
fss_2_exercise,fatigue_severity_scale,,radio,"2. Exercise brings on my fatigue.","1, 1 - Strongly Disagree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 - Strongly Agree",,,,,,,,,,,,,,
fss_3_easily,fatigue_severity_scale,,radio,"3. I am easily fatigued.","1, 1 - Strongly Disagree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 - Strongly Agree",,,,,,,,,,,,,,
fss_4_physical,fatigue_severity_scale,,radio,"4. Fatigue interferes with my physical functioning.","1, 1 - Strongly Disagree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 - Strongly Agree",,,,,,,,,,,,,,
fss_5_problems,fatigue_severity_scale,,radio,"5. Fatigue causes frequent problems for me.","1, 1 - Strongly Disagree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 - Strongly Agree",,,,,,,,,,,,,,
fss_6_sustained,fatigue_severity_scale,,radio,"6. My fatigue prevents sustained physical functioning.","1, 1 - Strongly Disagree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 - Strongly Agree",,,,,,,,,,,,,,
fss_7_duties,fatigue_severity_scale,,radio,"7. Fatigue interferes with carrying out certain duties and responsibilities.","1, 1 - Strongly Disagree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 - Strongly Agree",,,,,,,,,,,,,,
fss_8_disabling,fatigue_severity_scale,,radio,"8. Fatigue is among my most disabling symptoms.","1, 1 - Strongly Disagree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 - Strongly Agree",,,,,,,,,,,,,,
fss_9_social,fatigue_severity_scale,,radio,"9. Fatigue interferes with my work, family, or social life.","1, 1 - Strongly Disagree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 - Strongly Agree",,,,,,,,,,,,,,
fss_mean_score,fatigue_severity_scale,,calc,"FSS Mean Score (Average of 9 items)","([fss_1_motivation]+[fss_2_exercise]+[fss_3_easily]+[fss_4_physical]+[fss_5_problems]+[fss_6_sustained]+[fss_7_duties]+[fss_8_disabling]+[fss_9_social]) / 9",,,,,,,,,,,,,,
vafs_header,fatigue_severity_scale,"VISUAL ANALOGUE FATIGUE SCALE (VAFS)",descriptive,"Please mark an ""X"" on the number line which describes your global fatigue with 0 being worst and 10 being normal.",,,,,,,,,,,,,,
vafs_score,fatigue_severity_scale,,radio,"Global Fatigue (0 = Worst, 10 = Normal)","0, 0 - Worst | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 - Normal",,,,,,,,,RH,,,,
