Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
homer_id,action_research_arm_test,,text,Record ID,,,,,,,,,,,,,,,
arat_date,action_research_arm_test,,text,Date of Assessment,,,date_ymd,,,,,,,,,,,
arat_examiner,action_research_arm_test,,text,Examiner Name,,,,,,,,,,,,,,,
arat_scoring_info,action_research_arm_test,SCORING SCALE,descriptive,"<b>0</b> - Unable to finish the task<br><b>1</b> - Can finish the task partially regardless of position/movements<br><b>2</b> - Can finish the task but takes abnormally long, has great difficulty, or has improper body posture/hand/arm movements<br><b>3</b> - Finished the task quickly with the appropriate body position and normal hand/arm movements",,,,,,,,,,,,,
arat_grasp_table,action_research_arm_test,GRASP,descriptive,"<table border='1' style='width:100%; border-collapse: collapse; table-layout: fixed;'><tr style='background-color: #f2f2f2;'><th style='width:40%; padding: 5px;'>Item</th><th style='width:30%; padding: 5px;'>Left Score</th><th style='width:30%; padding: 5px;'>Right Score</th></tr><tr><td style='padding: 5px;'>1. Block 10cm (Wood)</td><td style='padding: 5px;'>{arat_grasp_1_l}</td><td style='padding: 5px;'>{arat_grasp_1_r}</td></tr><tr><td style='padding: 5px;'>2. Block 2.5cm (Wood)</td><td style='padding: 5px;'>{arat_grasp_2_l}</td><td style='padding: 5px;'>{arat_grasp_2_r}</td></tr><tr><td style='padding: 5px;'>3. Block 5cm (Wood)</td><td style='padding: 5px;'>{arat_grasp_3_l}</td><td style='padding: 5px;'>{arat_grasp_3_r}</td></tr><tr><td style='padding: 5px;'>4. Block 7.5cm (Wood)</td><td style='padding: 5px;'>{arat_grasp_4_l}</td><td style='padding: 5px;'>{arat_grasp_4_r}</td></tr><tr><td style='padding: 5px;'>5. Cricket Ball</td><td style='padding: 5px;'>{arat_grasp_5_l}</td><td style='padding: 5px;'>{arat_grasp_5_r}</td></tr><tr><td style='padding: 5px;'>6. Sharpening stone</td><td style='padding: 5px;'>{arat_grasp_6_l}</td><td style='padding: 5px;'>{arat_grasp_6_r}</td></tr></table>",,,,,,,,,,,,,
arat_grasp_1_l,action_research_arm_test,,radio,Grasp 1 Left,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_grasp_1_r,action_research_arm_test,,radio,Grasp 1 Right,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_grasp_2_l,action_research_arm_test,,radio,Grasp 2 Left,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_grasp_2_r,action_research_arm_test,,radio,Grasp 2 Right,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_grasp_3_l,action_research_arm_test,,radio,Grasp 3 Left,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_grasp_3_r,action_research_arm_test,,radio,Grasp 3 Right,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_grasp_4_l,action_research_arm_test,,radio,Grasp 4 Left,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_grasp_4_r,action_research_arm_test,,radio,Grasp 4 Right,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_grasp_5_l,action_research_arm_test,,radio,Grasp 5 Left,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_grasp_5_r,action_research_arm_test,,radio,Grasp 5 Right,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_grasp_6_l,action_research_arm_test,,radio,Grasp 6 Left,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_grasp_6_r,action_research_arm_test,,radio,Grasp 6 Right,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_sub_grasp_l,action_research_arm_test,,calc,Subtotal Grasp LEFT,[arat_grasp_1_l]+[arat_grasp_2_l]+[arat_grasp_3_l]+[arat_grasp_4_l]+[arat_grasp_5_l]+[arat_grasp_6_l],,,,,,,,,,,,,
arat_sub_grasp_r,action_research_arm_test,,calc,Subtotal Grasp RIGHT,[arat_grasp_1_r]+[arat_grasp_2_r]+[arat_grasp_3_r]+[arat_grasp_4_r]+[arat_grasp_5_r]+[arat_grasp_6_r],,,,,,,,,,,,,
arat_grip_table,action_research_arm_test,GRIP,descriptive,"<table border='1' style='width:100%; border-collapse: collapse; table-layout: fixed;'><tr style='background-color: #f2f2f2;'><th style='width:40%; padding: 5px;'>Item</th><th style='width:30%; padding: 5px;'>Left Score</th><th style='width:30%; padding: 5px;'>Right Score</th></tr><tr><td style='padding: 5px;'>7. Pour water (cup to cup)</td><td style='padding: 5px;'>{arat_grip_7_l}</td><td style='padding: 5px;'>{arat_grip_7_r}</td></tr><tr><td style='padding: 5px;'>8. Tube 2.25cm</td><td style='padding: 5px;'>{arat_grip_8_l}</td><td style='padding: 5px;'>{arat_grip_8_r}</td></tr><tr><td style='padding: 5px;'>9. Tube 1cm</td><td style='padding: 5px;'>{arat_grip_9_l}</td><td style='padding: 5px;'>{arat_grip_9_r}</td></tr><tr><td style='padding: 5px;'>10. Washer over bolt</td><td style='padding: 5px;'>{arat_grip_10_l}</td><td style='padding: 5px;'>{arat_grip_10_r}</td></tr></table>",,,,,,,,,,,,,
arat_grip_7_l,action_research_arm_test,,radio,Grip 7 Left,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_grip_7_r,action_research_arm_test,,radio,Grip 7 Right,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_grip_8_l,action_research_arm_test,,radio,Grip 8 Left,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_grip_8_r,action_research_arm_test,,radio,Grip 8 Right,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_grip_9_l,action_research_arm_test,,radio,Grip 9 Left,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
