Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
cahai7_header,cahai7_score_form,Activity Scale,descriptive,"1. total assist (weak U/L < 25%)<br>2. maximal assist (weak U/L = 25-49%)<br>3. moderate assist (weak U/L = 50-74%)<br>4. minimal assist (weak U/L > 75%)<br>5. supervision<br>6. modified independence (device)<br>7. complete independence (timely, safely)",,,,,,,,,,,,,,
cahai7_1_jar,cahai7_score_form,Activity Items,radio,1. Open jar of coffee,"1, 1 - total assist | 2, 2 - maximal assist | 3, 3 - moderate assist | 4, 4 - minimal assist | 5, 5 - supervision | 6, 6 - modified independence | 7, 7 - complete independence",,,,,,,,,,,,,,
cahai7_1_jar_role,cahai7_score_form,,checkbox,Affected Limb (Item 1),"1, holds jar | 2, holds lid",,,,,,,,,,,,,,
cahai7_2_call,cahai7_score_form,,radio,2. Call 911,"1, 1 - total assist | 2, 2 - maximal assist | 3, 3 - moderate assist | 4, 4 - minimal assist | 5, 5 - supervision | 6, 6 - modified independence | 7, 7 - complete independence",,,,,,,,,,,,,,
cahai7_2_call_role,cahai7_score_form,,checkbox,Affected Limb (Item 2),"1, holds receiver | 2, dials phone",,,,,,,,,,,,,,
cahai7_3_ruler,cahai7_score_form,,radio,3. Draw a line with a ruler,"1, 1 - total assist | 2, 2 - maximal assist | 3, 3 - moderate assist | 4, 4 - minimal assist | 5, 5 - supervision | 6, 6 - modified independence | 7, 7 - complete independence",,,,,,,,,,,,,,
cahai7_3_ruler_role,cahai7_score_form,,checkbox,Affected Limb (Item 3),"1, holds ruler | 2, holds pen",,,,,,,,,,,,,,
cahai7_4_water,cahai7_score_form,,radio,4. Pour a glass of water,"1, 1 - total assist | 2, 2 - maximal assist | 3, 3 - moderate assist | 4, 4 - minimal assist | 5, 5 - supervision | 6, 6 - modified independence | 7, 7 - complete independence",,,,,,,,,,,,,,
cahai7_4_water_role,cahai7_score_form,,checkbox,Affected Limb (Item 4),"1, holds glass | 2, holds pitcher",,,,,,,,,,,,,,
cahai7_5_washcloth,cahai7_score_form,,radio,5. Wring out washcloth,"1, 1 - total assist | 2, 2 - maximal assist | 3, 3 - moderate assist | 4, 4 - minimal assist | 5, 5 - supervision | 6, 6 - modified independence | 7, 7 - complete independence",,,,,,,,,,,,,,
cahai7_6_buttons,cahai7_score_form,,radio,6. Do up five buttons,"1, 1 - total assist | 2, 2 - maximal assist | 3, 3 - moderate assist | 4, 4 - minimal assist | 5, 5 - supervision | 6, 6 - modified independence | 7, 7 - complete independence",,,,,,,,,,,,,,
cahai7_7_towel,cahai7_score_form,,radio,7. Dry back with towel,"1, 1 - total assist | 2, 2 - maximal assist | 3, 3 - moderate assist | 4, 4 - minimal assist | 5, 5 - supervision | 6, 6 - modified independence | 7, 7 - complete independence",,,,,,,,,,,,,,
cahai7_7_towel_role,cahai7_score_form,,checkbox,Affected Limb (Item 7),"1, reachs for towel | 2, grasps towel end",,,,,,,,,,,,,,
cahai7_total_score,cahai7_score_form,Scoring,calc,Total Score (Max 49),"[cahai7_1_jar]+[cahai7_2_call]+[cahai7_3_ruler]+[cahai7_4_water]+[cahai7_5_washcloth]+[cahai7_6_buttons]+[cahai7_7_towel]",,,,,,,,,,,,,,
cahai7_comments,cahai7_score_form,,notes,Comments,,,,,,,,,,,,,,,
