Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,,
homer_id,eq_5d_5l,,text,Record ID,,,,,,,,,,,,,,,
eq5d_date,eq_5d_5l,,text,Date of Assessment,,,date_ymd,,,,,,,,,,,
eq5d_intro,eq_5d_5l,Health Questionnaire,descriptive,"Health Questionnaire<br>English version for India<br><br>© EuroQol Research Foundation. EQ-5D™ is a trade mark of the EuroQol Research Foundation. India (English) v2.0<br><br>Under each heading, please tick the ONE box that best describes your health TODAY.",,,,,,,,,,,,,
eq5d_mobility,eq_5d_5l,MOBILITY,radio,Mobility,"1, I have no problems in walking | 2, I have slight problems in walking | 3, I have moderate problems in walking | 4, I have severe problems in walking | 5, I am unable to walk",,,,,,,,RH,,,,,
eq5d_self_care,eq_5d_5l,SELF-CARE,radio,Self-care,"1, I have no problems bathing or dressing myself | 2, I have slight problems bathing or dressing myself | 3, I have moderate problems bathing or dressing myself | 4, I have severe problems bathing or dressing myself | 5, I am unable to bathe or dress myself",,,,,,,,RH,,,,,
eq5d_usual_activities,eq_5d_5l,USUAL ACTIVITIES,radio,"Usual activities (e.g. work, study, housework, family or leisure activities)","1, I have no problems doing my usual activities | 2, I have slight problems doing my usual activities | 3, I have moderate problems doing my usual activities | 4, I have severe problems doing my usual activities | 5, I am unable to do my usual activities",,,,,,,,RH,,,,,
eq5d_pain_discomfort,eq_5d_5l,PAIN / DISCOMFORT,radio,Pain / Discomfort,"1, I have no pain or discomfort | 2, I have slight pain or discomfort | 3, I have moderate pain or discomfort | 4, I have severe pain or discomfort | 5, I have extreme pain or discomfort",,,,,,,,RH,,,,,
eq5d_anxiety_depression,eq_5d_5l,ANXIETY / DEPRESSION,radio,Anxiety / Depression,"1, I am not anxious or depressed | 2, I am slightly anxious or depressed | 3, I am moderately anxious or depressed | 4, I am severely anxious or depressed | 5, I am extremely anxious or depressed",,,,,,,,RH,,,,,
eq5d_vas_header,eq_5d_5l,EQ VAS,descriptive,"• We would like to know how good or bad your health is TODAY.<br>• This scale is numbered from 0 to 100.<br>• 100 means the best health you can imagine. 0 means the worst health you can imagine.<br>• Mark an X on the scale to indicate how your health is TODAY.<br>• Now, please write the number you marked on the scale in the box",,,,,,,,,,,,,
eq5d_vas,eq_5d_5l,,text,"EQ VAS Score (0-100)",,,int,0,100,,,,,,,,,,
eq5d_copyright,eq_5d_5l,COPYRIGHT,descriptive,"© EuroQol Research Foundation. EQ-5D™ is a trade mark of the EuroQol Research Foundation. India (English) v2.0",,,,,,,,,,,,,
