form_name,event_name,control_condition
fatigue_severity_scale,a1_arm_1,"[a0_arm_1][patient_demographics_complete] = '2'"
sipso_questionnaire,a1_arm_1,"[a0_arm_1][patient_demographics_complete] = '2'"
action_research_arm_test,a1_arm_1,"[a0_arm_1][patient_demographics_complete] = '2'"
caregiver_strain_index,a1_arm_1,"[a0_arm_1][patient_demographics_complete] = '2'"
fugl_meyer_assessment_ue,a1_arm_1,"[a0_arm_1][patient_demographics_complete] = '2'"
motor_activity_log,a1_arm_1,"[a0_arm_1][patient_demographics_complete] = '2'"
modified_rankin_scale,a1_arm_1,"[a0_arm_1][patient_demographics_complete] = '2'"
patient_health_questionnaire_phq9,a1_arm_1,"[a0_arm_1][patient_demographics_complete] = '2'"
montreal_cognitive_assessment,a1_arm_1,"[a0_arm_1][patient_demographics_complete] = '2'"
modified_ashworth_scale,a1_arm_1,"[a0_arm_1][patient_demographics_complete] = '2'"
box_and_block_test,a1_arm_1,"[a0_arm_1][patient_demographics_complete] = '2'"
completed_assessment,a1_arm_1,"[a0_arm_1][patient_demographics_complete] = '2'"
fatigue_severity_scale,a2_arm_1,"[a1_arm_1][completed_assessment_complete] = '2'"
sipso_questionnaire,a2_arm_1,"[a1_arm_1][completed_assessment_complete] = '2'"
action_research_arm_test,a2_arm_1,"[a1_arm_1][completed_assessment_complete] = '2'"
caregiver_strain_index,a2_arm_1,"[a1_arm_1][completed_assessment_complete] = '2'"
fugl_meyer_assessment_ue,a2_arm_1,"[a1_arm_1][completed_assessment_complete] = '2'"
motor_activity_log,a2_arm_1,"[a1_arm_1][completed_assessment_complete] = '2'"
modified_rankin_scale,a2_arm_1,"[a1_arm_1][completed_assessment_complete] = '2'"
patient_health_questionnaire_phq9,a2_arm_1,"[a1_arm_1][completed_assessment_complete] = '2'"
montreal_cognitive_assessment,a2_arm_1,"[a1_arm_1][completed_assessment_complete] = '2'"
modified_ashworth_scale,a2_arm_1,"[a1_arm_1][completed_assessment_complete] = '2'"
box_and_block_test,a2_arm_1,"[a1_arm_1][completed_assessment_complete] = '2'"
completed_assessment,a2_arm_1,"[a1_arm_1][completed_assessment_complete] = '2'"
