Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,motor_activity_log,,text,Record ID,,,,,,,,,,,,,
mal_date,motor_activity_log,,text,Date of Assessment,,,date_ymd,,,,,,,,,,
mal_examiner,motor_activity_log,,text,Examiner Name,,,,,,,,,,,,,
mal_scoring_as,motor_activity_log,MOTOR ACTIVITY LOG (MAL) - SCORING SCALES,descriptive,"<div style=""background-color: #fcfcfc; border: 1px solid #e0e0e0; border-radius: 6px; padding: 12px; margin-bottom: 10px; font-family: sans-serif;"">
  <span style=""font-size: 1.1em; color: #1e3d59; font-weight: bold; border-bottom: 2px solid #ffc13b; padding-bottom: 2px;"">Amount Scale (AS)</span>
  <div style=""margin-top: 10px; line-height: 1.5;"">
    <b>0</b> &mdash; Did not use my weaker arm (not used)<br>
    <span style=""color: #888;""><b>0.5</b> &mdash; (Halfway score)</span><br>
    <b>1</b> &mdash; Occasionally used my weaker arm, but only very rarely (very rarely)<br>
    <span style=""color: #888;""><b>1.5</b> &mdash; (Halfway score)</span><br>
    <b>2</b> &mdash; Sometimes used my weaker arm but did the activity most of the time with my stronger arm (rarely)<br>
    <span style=""color: #888;""><b>2.5</b> &mdash; (Halfway score)</span><br>
    <b>3</b> &mdash; Used my weaker arm about half as much as before the stroke (half pre-stroke)<br>
    <span style=""color: #888;""><b>3.5</b> &mdash; (Halfway score)</span><br>
    <b>4</b> &mdash; Used my weaker arm almost as much as before the stroke (3/4 pre-stroke)<br>
    <span style=""color: #888;""><b>4.5</b> &mdash; (Halfway score)</span><br>
    <b>5</b> &mdash; Used my weaker arm as often as before the stroke (same as pre-stroke)
  </div>
</div>",,,,,,,,,,,,,
mal_scoring_hw,motor_activity_log,,descriptive,"<div style=""background-color: #fcfcfc; border: 1px solid #e0e0e0; border-radius: 6px; padding: 12px; margin-bottom: 10px; font-family: sans-serif;"">
  <span style=""font-size: 1.1em; color: #1e3d59; font-weight: bold; border-bottom: 2px solid #ffc13b; padding-bottom: 2px;"">How Well Scale (HW)</span>
  <div style=""margin-top: 10px; line-height: 1.5;"">
    <b>0</b> &mdash; The weaker arm was not used at all for that activity (never)<br>
    <span style=""color: #888;""><b>0.5</b> &mdash; (Halfway score)</span><br>
    <b>1</b> &mdash; The weaker arm was moved during that activity but was not helpful (very poor)<br>
    <span style=""color: #888;""><b>1.5</b> &mdash; (Halfway score)</span><br>
    <b>2</b> &mdash; The weaker arm was of some use during that activity but needed some help from the stronger arm or moved very slowly or with difficulty (poor)<br>
    <span style=""color: #888;""><b>2.5</b> &mdash; (Halfway score)</span><br>
    <b>3</b> &mdash; The weaker arm was used for the purpose indicated but movements were slow or were made with only some effort (fair)<br>
    <span style=""color: #888;""><b>3.5</b> &mdash; (Halfway score)</span><br>
    <b>4</b> &mdash; The movements made by the weaker arm were almost normal, but were not quite as fast or accurate as normal (almost normal)<br>
    <span style=""color: #888;""><b>4.5</b> &mdash; (Halfway score)</span><br>
    <b>5</b> &mdash; The ability to use the weaker arm for that activity was as good as before the stroke (normal)
  </div>
</div>",,,,,,,,,,,,,
mal_why_codes,motor_activity_log,,descriptive,"<div style=""background-color: #f9f9f9; border: 1px solid #ddd; border-radius: 6px; padding: 12px; font-family: sans-serif;"">
  <span style=""font-size: 1.1em; color: #b22222; font-weight: bold; border-bottom: 2px solid #f4a261; padding-bottom: 2px;"">Codes for recording ""no"" responses</span>
  <div style=""margin-top: 10px; line-height: 1.5;"">
    <b>1.</b> &ldquo;I used the unaffected arm entirely.&rdquo; (assign <b>0</b>)<br>
    <b>2.</b> &ldquo;Someone else did it for me.&rdquo; (assign <b>0</b>)<br>
    <b>3.</b> &ldquo;I never do that activity... impossible (e.g. bald)&rdquo; (assign <b>N/A</b> and drop from list)<br>
    <b>4.</b> &ldquo;Opportunity not present since last time&rdquo; (carry-over last assigned number)<br>
    <b>5.</b> Non-dominant hand hemiparesis (applicable to #24; assign <b>N/A</b>)
  </div>
</div>",,,,,,,,,,,,,
mal_table_1_5,motor_activity_log,TASKS 1-5,descriptive,<table border='1' style='width:100%; border-collapse: collapse; table-layout: fixed;'><tr style='background-color: #f2f2f2;'><th style='width:31%; padding: 5px;'>Task</th><th style='width:12%; padding: 5px;'>AS (0-5)</th><th style='width:12%; padding: 5px;'>HW (0-5)</th><th style='width:12%; padding: 5px;'>Code (1-5)</th><th style='width:33%; padding: 5px;'>Comments</th></tr><tr><td style='padding: 5px;'>1. Using a telephone</td><td style='padding: 5px;'>{mal_as_1}</td><td style='padding: 5px;'>{mal_hw_1}</td><td style='padding: 5px;'>{mal_why_1}</td><td style='padding: 5px;'>{mal_comm_1}</td></tr><tr><td style='padding: 5px;'>2. Turning on a light switch</td><td style='padding: 5px;'>{mal_as_2}</td><td style='padding: 5px;'>{mal_hw_2}</td><td style='padding: 5px;'>{mal_why_2}</td><td style='padding: 5px;'>{mal_comm_2}</td></tr><tr><td style='padding: 5px;'>3. Opening a drawer</td><td style='padding: 5px;'>{mal_as_3}</td><td style='padding: 5px;'>{mal_hw_3}</td><td style='padding: 5px;'>{mal_why_3}</td><td style='padding: 5px;'>{mal_comm_3}</td></tr><tr><td style='padding: 5px;'>4. Removing item from drawer</td><td style='padding: 5px;'>{mal_as_4}</td><td style='padding: 5px;'>{mal_hw_4}</td><td style='padding: 5px;'>{mal_why_4}</td><td style='padding: 5px;'>{mal_comm_4}</td></tr><tr><td style='padding: 5px;'>5. Picking up a telephone</td><td style='padding: 5px;'>{mal_as_5}</td><td style='padding: 5px;'>{mal_hw_5}</td><td style='padding: 5px;'>{mal_why_5}</td><td style='padding: 5px;'>{mal_comm_5}</td></tr></table>,,,,,,,,,,,,,
mal_as_1,motor_activity_log,,dropdown,AS 1,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_hw_1,motor_activity_log,,dropdown,HW 1,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_why_1,motor_activity_log,,dropdown,Why 1,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,,,,,,,
