Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,,
homer_id,modified_ashworth_scale,,text,Record ID,,,,,,,,,,,,,,,
mas_date,modified_ashworth_scale,,text,Date of Assessment,,,date_ymd,,,,,,,,,,,
mas_examiner,modified_ashworth_scale,,text,Examiner Name,,,,,,,,,,,,,,,
mas_instructions,modified_ashworth_scale,MODIFIED ASHWORTH SCALE (MAS),descriptive,"<b>General Information:</b><br>1. Place the patient in a supine position.<br>2. To test a muscle that primarily flexes a joint, place the joint in a maximally flexed position and move to a position of maximal extension over one second (count ""one thousand one"").<br>3. To test a muscle that primarily extends a joint, place the joint in a maximally extended position and move to a position of maximal flexion over one second (count ""one thousand one"").<br><br><b>Patient Instructions:</b> The patient should be instructed to relax.",,,,,,,,,,,,,
mas_scoring_key,modified_ashworth_scale,,descriptive,"<b>Scoring:</b><br>0: No increase in muscle tone<br>1: Slight increase in muscle tone, manifested by a catch and release or by minimal resistance at the end of the range of motion when the affected part(s) is moved in flexion or extension<br>1+: Slight increase in muscle tone, manifested by a catch, followed by minimal resistance throughout the remainder (less than half) of the ROM<br>2: More marked increase in muscle tone through most of the ROM, but affected part(s) easily moved<br>3: Considerable increase in muscle tone, passive movement difficult<br>4: Affected part(s) rigid in flexion or extension",,,,,,,,,,,,,
mas_shoulder_flex,modified_ashworth_scale,Shoulder,radio,Flexors,"0, 0 | 1, 1 | 2, 1+ | 3, 2 | 4, 3 | 5, 4",,,,,,,,RH,,,,,
mas_shoulder_ext,modified_ashworth_scale,,radio,Extensors,"0, 0 | 1, 1 | 2, 1+ | 3, 2 | 4, 3 | 5, 4",,,,,,,,RH,,,,,
mas_shoulder_abd,modified_ashworth_scale,,radio,Abductors,"0, 0 | 1, 1 | 2, 1+ | 3, 2 | 4, 3 | 5, 4",,,,,,,,RH,,,,,
mas_shoulder_add,modified_ashworth_scale,,radio,Adductors,"0, 0 | 1, 1 | 2, 1+ | 3, 2 | 4, 3 | 5, 4",,,,,,,,RH,,,,,
mas_elbow_flex,modified_ashworth_scale,Elbow,radio,Flexors,"0, 0 | 1, 1 | 2, 1+ | 3, 2 | 4, 3 | 5, 4",,,,,,,,RH,,,,,
mas_elbow_ext,modified_ashworth_scale,,radio,Extensors,"0, 0 | 1, 1 | 2, 1+ | 3, 2 | 4, 3 | 5, 4",,,,,,,,RH,,,,,
mas_forearm_pronato,modified_ashworth_scale,Forearm,radio,Pronators,"0, 0 | 1, 1 | 2, 1+ | 3, 2 | 4, 3 | 5, 4",,,,,,,,RH,,,,,
mas_forearm_supinat,modified_ashworth_scale,,radio,Supinators,"0, 0 | 1, 1 | 2, 1+ | 3, 2 | 4, 3 | 5, 4",,,,,,,,RH,,,,,
mas_wrist_flex,modified_ashworth_scale,Wrist,radio,Flexors,"0, 0 | 1, 1 | 2, 1+ | 3, 2 | 4, 3 | 5, 4",,,,,,,,RH,,,,,
mas_wrist_ext,modified_ashworth_scale,,radio,Extensors,"0, 0 | 1, 1 | 2, 1+ | 3, 2 | 4, 3 | 5, 4",,,,,,,,RH,,,,,
mas_fingers_flex,modified_ashworth_scale,Fingers,radio,Flexors,"0, 0 | 1, 1 | 2, 1+ | 3, 2 | 4, 3 | 5, 4",,,,,,,,RH,,,,,
mas_fingers_ext,modified_ashworth_scale,,radio,Extensors,"0, 0 | 1, 1 | 2, 1+ | 3, 2 | 4, 3 | 5, 4",,,,,,,,RH,,,,,
